time_s,centroid_error_m,pointing_error_deg,axis_error_deg,edge_rms_m,edge_max_m,minimum_separation_m,planarity_m,snr_dB,coherent_loss_dB,fixed_plane_snr_dB
1.3,0.0860589177678511,3.78393088509382,3.78393088509382,0.000642188638989653,0.000874502349577311,1.38500726005194,3.92523114670944e-17,91.9990640686669,0.0501890221639254,92.0489115475976
1.32,0.0846551303653848,3.69709519608716,3.69709519608716,0.000720618799174863,0.00114549157877297,1.38514541103383,3.80902510463205e-16,92.0006684963138,0.0479225365096653,92.048260965
1.34,0.0832749994383838,3.61182121496466,3.61182121496466,0.000835472979087499,0.00138618428428172,1.38528268698081,2.2662332591842e-17,92.0021969334491,0.0457483107630083,92.0476254550224
1.36,0.0819178132129423,3.52814980720234,3.52814980720234,0.000960559308669166,0.00159266026743943,1.38541468177577,3.8224845992388e-16,92.003651403016,0.0436642082939031,92.0470047754756
1.38,0.0805829126300558,3.44612265712782,3.44612265712782,0.0010791800298504,0.00176178905744484,1.38553744392774,5.46016442418307e-16,92.005033868307,0.0416681482697521,92.0463986922576
1.4,0.0792696889339912,3.36578034686697,3.36578034686697,0.00118125069654272,0.0018912836071685,1.38564755372584,3.58322940412438e-17,92.0063462788669,0.0397580576017098,92.0458069790441
1.42,0.0779775811356879,3.28716058630973,3.28716058630973,0.00126060152480978,0.00197973392015061,1.38574218323938,1.60246890531964e-17,92.007590608441,0.0379318314384366,92.045229417094
1.44,0.076706073382256,3.21029662646183,3.21029662646183,0.00131349409160609,0.00202662016975719,1.38581913844228,3.92523114670944e-17,92.0087688848205,0.0361873023362302,92.0446657951289
1.46,0.0754546922480046,3.13521588246877,3.13521588246877,0.00133787254299088,0.00203230536584997,1.38587688319506,1.58636328142894e-16,92.0098832116741,0.0345222179685974,92.0441159092339
1.48,0.0742230039523538,3.06193878649004,3.06193878649004,0.00133297171298648,0.00199800811273421,1.38591454526526,1.37849587538812e-16,92.0109357826729,0.0329342270036861,92.0435795627206
